,keyword,type,date,index
0,幽门螺杆菌,all,2017-03-05,222
0,幽门螺杆菌,all,2017-03-06,260
0,幽门螺杆菌,all,2017-03-07,248
0,幽门螺杆菌,all,2017-03-08,251
0,幽门螺杆菌,all,2017-03-09,225
0,幽门螺杆菌,all,2017-03-10,260
0,幽门螺杆菌,all,2017-03-11,227
0,幽门螺杆菌,all,2017-03-12,215
0,幽门螺杆菌,all,2017-03-13,258
0,幽门螺杆菌,all,2017-03-14,246
0,幽门螺杆菌,all,2017-03-15,249
0,幽门螺杆菌,all,2017-03-16,250
0,幽门螺杆菌,all,2017-03-17,229
0,幽门螺杆菌,all,2017-03-18,234
0,幽门螺杆菌,all,2017-03-19,231
0,幽门螺杆菌,all,2017-03-20,235
0,幽门螺杆菌,all,2017-03-21,237
0,幽门螺杆菌,all,2017-03-22,247
0,幽门螺杆菌,all,2017-03-23,236
0,幽门螺杆菌,all,2017-03-24,248
0,幽门螺杆菌,all,2017-03-25,226
0,幽门螺杆菌,all,2017-03-26,210
0,幽门螺杆菌,all,2017-03-27,223
0,幽门螺杆菌,all,2017-03-28,228
0,幽门螺杆菌,all,2017-03-29,241
0,幽门螺杆菌,all,2017-03-30,218
0,幽门螺杆菌,all,2017-03-31,226
0,幽门螺杆菌,all,2017-04-01,219
0,幽门螺杆菌,all,2017-04-02,218
0,幽门螺杆菌,all,2017-04-03,212
0,幽门螺杆菌,all,2017-04-04,226
0,幽门螺杆菌,all,2017-04-05,257
0,幽门螺杆菌,all,2017-04-06,263
0,幽门螺杆菌,all,2017-04-07,226
0,幽门螺杆菌,all,2017-04-08,242
0,幽门螺杆菌,all,2017-04-09,221
0,幽门螺杆菌,all,2017-04-10,233
0,幽门螺杆菌,all,2017-04-11,248
0,幽门螺杆菌,all,2017-04-12,239
0,幽门螺杆菌,all,2017-04-13,229
0,幽门螺杆菌,all,2017-04-14,282
0,幽门螺杆菌,all,2017-04-15,255
0,幽门螺杆菌,all,2017-04-16,222
0,幽门螺杆菌,all,2017-04-17,253
0,幽门螺杆菌,all,2017-04-18,275
0,幽门螺杆菌,all,2017-04-19,269
0,幽门螺杆菌,all,2017-04-20,284
0,幽门螺杆菌,all,2017-04-21,290
0,幽门螺杆菌,all,2017-04-22,303
0,幽门螺杆菌,all,2017-04-23,291
0,幽门螺杆菌,all,2017-04-24,289
0,幽门螺杆菌,all,2017-04-25,353
0,幽门螺杆菌,all,2017-04-26,329
0,幽门螺杆菌,all,2017-04-27,330
0,幽门螺杆菌,all,2017-04-28,346
0,幽门螺杆菌,all,2017-04-29,308
0,幽门螺杆菌,all,2017-04-30,284
0,幽门螺杆菌,all,2017-05-01,294
0,幽门螺杆菌,all,2017-05-02,313
0,幽门螺杆菌,all,2017-05-03,375
0,幽门螺杆菌,all,2017-05-04,365
0,幽门螺杆菌,all,2017-05-05,389
0,幽门螺杆菌,all,2017-05-06,342
0,幽门螺杆菌,all,2017-05-07,312
0,幽门螺杆菌,all,2017-05-08,377
0,幽门螺杆菌,all,2017-05-09,397
0,幽门螺杆菌,all,2017-05-10,374
0,幽门螺杆菌,all,2017-05-11,346
0,幽门螺杆菌,all,2017-05-12,393
0,幽门螺杆菌,all,2017-05-13,377
0,幽门螺杆菌,all,2017-05-14,307
0,幽门螺杆菌,all,2017-05-15,418
0,幽门螺杆菌,all,2017-05-16,437
0,幽门螺杆菌,all,2017-05-17,422
0,幽门螺杆菌,all,2017-05-18,426
0,幽门螺杆菌,all,2017-05-19,455
0,幽门螺杆菌,all,2017-05-20,425
0,幽门螺杆菌,all,2017-05-21,338
0,幽门螺杆菌,all,2017-05-22,426
0,幽门螺杆菌,all,2017-05-23,409
0,幽门螺杆菌,all,2017-05-24,492
0,幽门螺杆菌,all,2017-05-25,512
0,幽门螺杆菌,all,2017-05-26,497
0,幽门螺杆菌,all,2017-05-27,471
0,幽门螺杆菌,all,2017-05-28,361
0,幽门螺杆菌,all,2017-05-29,355
0,幽门螺杆菌,all,2017-05-30,355
0,幽门螺杆菌,all,2017-05-31,383
0,幽门螺杆菌,all,2017-06-01,341
0,幽门螺杆菌,all,2017-06-02,446
0,幽门螺杆菌,all,2017-06-03,405
0,幽门螺杆菌,all,2017-06-04,344
0,幽门螺杆菌,all,2017-06-05,530
0,幽门螺杆菌,all,2017-06-06,493
0,幽门螺杆菌,all,2017-06-07,467
0,幽门螺杆菌,all,2017-06-08,458
0,幽门螺杆菌,all,2017-06-09,429
0,幽门螺杆菌,all,2017-06-10,299
0,幽门螺杆菌,all,2017-06-11,338
0,幽门螺杆菌,all,2017-06-12,418
0,幽门螺杆菌,all,2017-06-13,489
0,幽门螺杆菌,all,2017-06-14,491
0,幽门螺杆菌,all,2017-06-15,480
0,幽门螺杆菌,all,2017-06-16,461
0,幽门螺杆菌,all,2017-06-17,469
0,幽门螺杆菌,all,2017-06-18,418
0,幽门螺杆菌,all,2017-06-19,518
0,幽门螺杆菌,all,2017-06-20,524
0,幽门螺杆菌,all,2017-06-21,531
0,幽门螺杆菌,all,2017-06-22,450
0,幽门螺杆菌,all,2017-06-23,439
0,幽门螺杆菌,all,2017-06-24,394
0,幽门螺杆菌,all,2017-06-25,362
0,幽门螺杆菌,all,2017-06-26,420
0,幽门螺杆菌,all,2017-06-27,483
0,幽门螺杆菌,all,2017-06-28,471
0,幽门螺杆菌,all,2017-06-29,434
0,幽门螺杆菌,all,2017-06-30,376
0,幽门螺杆菌,all,2017-07-01,361
0,幽门螺杆菌,all,2017-07-02,284
0,幽门螺杆菌,all,2017-07-03,425
0,幽门螺杆菌,all,2017-07-04,440
0,幽门螺杆菌,all,2017-07-05,457
0,幽门螺杆菌,all,2017-07-06,460
0,幽门螺杆菌,all,2017-07-07,444
0,幽门螺杆菌,all,2017-07-08,404
0,幽门螺杆菌,all,2017-07-09,346
0,幽门螺杆菌,all,2017-07-10,459
0,幽门螺杆菌,all,2017-07-11,419
0,幽门螺杆菌,all,2017-07-12,447
0,幽门螺杆菌,all,2017-07-13,486
0,幽门螺杆菌,all,2017-07-14,457
0,幽门螺杆菌,all,2017-07-15,412
0,幽门螺杆菌,all,2017-07-16,372
0,幽门螺杆菌,all,2017-07-17,442
0,幽门螺杆菌,all,2017-07-18,467
0,幽门螺杆菌,all,2017-07-19,465
0,幽门螺杆菌,all,2017-07-20,400
0,幽门螺杆菌,all,2017-07-21,497
0,幽门螺杆菌,all,2017-07-22,439
0,幽门螺杆菌,all,2017-07-23,355
0,幽门螺杆菌,all,2017-07-24,502
0,幽门螺杆菌,all,2017-07-25,559
0,幽门螺杆菌,all,2017-07-26,568
0,幽门螺杆菌,all,2017-07-27,496
0,幽门螺杆菌,all,2017-07-28,532
0,幽门螺杆菌,all,2017-07-29,401
0,幽门螺杆菌,all,2017-07-30,347
0,幽门螺杆菌,all,2017-07-31,515
0,幽门螺杆菌,all,2017-08-01,513
0,幽门螺杆菌,all,2017-08-02,592
0,幽门螺杆菌,all,2017-08-03,557
0,幽门螺杆菌,all,2017-08-04,561
0,幽门螺杆菌,all,2017-08-05,477
0,幽门螺杆菌,all,2017-08-06,412
0,幽门螺杆菌,all,2017-08-07,526
0,幽门螺杆菌,all,2017-08-08,582
0,幽门螺杆菌,all,2017-08-09,547
0,幽门螺杆菌,all,2017-08-10,628
0,幽门螺杆菌,all,2017-08-11,660
0,幽门螺杆菌,all,2017-08-12,557
0,幽门螺杆菌,all,2017-08-13,511
0,幽门螺杆菌,all,2017-08-14,637
0,幽门螺杆菌,all,2017-08-15,581
0,幽门螺杆菌,all,2017-08-16,661
0,幽门螺杆菌,all,2017-08-17,662
0,幽门螺杆菌,all,2017-08-18,646
0,幽门螺杆菌,all,2017-08-19,666
0,幽门螺杆菌,all,2017-08-20,489
0,幽门螺杆菌,all,2017-08-21,703
0,幽门螺杆菌,all,2017-08-22,690
0,幽门螺杆菌,all,2017-08-23,680
0,幽门螺杆菌,all,2017-08-24,793
0,幽门螺杆菌,all,2017-08-25,803
0,幽门螺杆菌,all,2017-08-26,773
0,幽门螺杆菌,all,2017-08-27,593
0,幽门螺杆菌,all,2017-08-28,709
0,幽门螺杆菌,all,2017-08-29,750
0,幽门螺杆菌,all,2017-08-30,686
0,幽门螺杆菌,all,2017-08-31,569
0,幽门螺杆菌,all,2017-09-01,574
0,幽门螺杆菌,all,2017-09-02,563
0,幽门螺杆菌,all,2017-09-03,555
0,幽门螺杆菌,all,2017-09-04,685
0,幽门螺杆菌,all,2017-09-05,670
0,幽门螺杆菌,all,2017-09-06,693
0,幽门螺杆菌,all,2017-09-07,605
0,幽门螺杆菌,all,2017-09-08,622
0,幽门螺杆菌,all,2017-09-09,518
0,幽门螺杆菌,all,2017-09-10,499
0,幽门螺杆菌,all,2017-09-11,593
0,幽门螺杆菌,all,2017-09-12,652
0,幽门螺杆菌,all,2017-09-13,656
0,幽门螺杆菌,all,2017-09-14,643
0,幽门螺杆菌,all,2017-09-15,615
0,幽门螺杆菌,all,2017-09-16,585
0,幽门螺杆菌,all,2017-09-17,696
0,幽门螺杆菌,all,2017-09-18,670
0,幽门螺杆菌,all,2017-09-19,677
0,幽门螺杆菌,all,2017-09-20,693
0,幽门螺杆菌,all,2017-09-21,697
0,幽门螺杆菌,all,2017-09-22,674
0,幽门螺杆菌,all,2017-09-23,622
0,幽门螺杆菌,all,2017-09-24,514
0,幽门螺杆菌,all,2017-09-25,656
0,幽门螺杆菌,all,2017-09-26,609
0,幽门螺杆菌,all,2017-09-27,640
0,幽门螺杆菌,all,2017-09-28,692
0,幽门螺杆菌,all,2017-09-29,642
0,幽门螺杆菌,all,2017-09-30,618
0,幽门螺杆菌,all,2017-10-01,490
0,幽门螺杆菌,all,2017-10-02,439
0,幽门螺杆菌,all,2017-10-03,420
0,幽门螺杆菌,all,2017-10-04,361
0,幽门螺杆菌,all,2017-10-05,416
0,幽门螺杆菌,all,2017-10-06,453
0,幽门螺杆菌,all,2017-10-07,499
0,幽门螺杆菌,all,2017-10-08,430
0,幽门螺杆菌,all,2017-10-09,537
0,幽门螺杆菌,all,2017-10-10,610
0,幽门螺杆菌,all,2017-10-11,719
0,幽门螺杆菌,all,2017-10-12,614
0,幽门螺杆菌,all,2017-10-13,657
0,幽门螺杆菌,all,2017-10-14,571
0,幽门螺杆菌,all,2017-10-15,513
0,幽门螺杆菌,all,2017-10-16,673
0,幽门螺杆菌,all,2017-10-17,700
0,幽门螺杆菌,all,2017-10-18,640
0,幽门螺杆菌,all,2017-10-19,673
0,幽门螺杆菌,all,2017-10-20,696
0,幽门螺杆菌,all,2017-10-21,647
0,幽门螺杆菌,all,2017-10-22,726
0,幽门螺杆菌,all,2017-10-23,692
0,幽门螺杆菌,all,2017-10-24,658
0,幽门螺杆菌,all,2017-10-25,716
0,幽门螺杆菌,all,2017-10-26,689
0,幽门螺杆菌,all,2017-10-27,682
0,幽门螺杆菌,all,2017-10-28,594
0,幽门螺杆菌,pc,2017-01-01,57
0,幽门螺杆菌,pc,2017-01-02,59
0,幽门螺杆菌,pc,2017-01-03,66
0,幽门螺杆菌,pc,2017-01-04,83
0,幽门螺杆菌,pc,2017-01-05,70
0,幽门螺杆菌,pc,2017-01-06,78
0,幽门螺杆菌,pc,2017-01-07,66
0,幽门螺杆菌,pc,2017-01-08,74
0,幽门螺杆菌,pc,2017-01-09,66
0,幽门螺杆菌,pc,2017-01-10,78
0,幽门螺杆菌,pc,2017-01-11,68
0,幽门螺杆菌,pc,2017-01-12,68
0,幽门螺杆菌,pc,2017-01-13,70
0,幽门螺杆菌,pc,2017-01-14,64
0,幽门螺杆菌,pc,2017-01-15,64
0,幽门螺杆菌,pc,2017-01-16,70
0,幽门螺杆菌,pc,2017-01-17,72
0,幽门螺杆菌,pc,2017-01-18,76
0,幽门螺杆菌,pc,2017-01-19,76
0,幽门螺杆菌,pc,2017-01-20,72
0,幽门螺杆菌,pc,2017-01-21,64
0,幽门螺杆菌,pc,2017-01-22,70
0,幽门螺杆菌,pc,2017-01-23,64
0,幽门螺杆菌,pc,2017-01-24,74
0,幽门螺杆菌,pc,2017-01-25,63
0,幽门螺杆菌,pc,2017-01-26,64
0,幽门螺杆菌,pc,2017-01-27,61
0,幽门螺杆菌,pc,2017-01-28,66
0,幽门螺杆菌,pc,2017-01-29,63
0,幽门螺杆菌,pc,2017-01-30,61
0,幽门螺杆菌,pc,2017-01-31,59
0,幽门螺杆菌,pc,2017-02-01,59
0,幽门螺杆菌,pc,2017-02-02,59
0,幽门螺杆菌,pc,2017-02-03,61
0,幽门螺杆菌,pc,2017-02-04,68
0,幽门螺杆菌,pc,2017-02-05,64
0,幽门螺杆菌,pc,2017-02-06,80
0,幽门螺杆菌,pc,2017-02-07,63
0,幽门螺杆菌,pc,2017-02-08,66
0,幽门螺杆菌,pc,2017-02-09,74
0,幽门螺杆菌,pc,2017-02-10,64
0,幽门螺杆菌,pc,2017-02-11,64
0,幽门螺杆菌,pc,2017-02-12,68
0,幽门螺杆菌,pc,2017-02-13,70
0,幽门螺杆菌,pc,2017-02-14,74
0,幽门螺杆菌,pc,2017-02-15,74
0,幽门螺杆菌,pc,2017-02-16,74
0,幽门螺杆菌,pc,2017-02-17,82
0,幽门螺杆菌,pc,2017-02-18,61
0,幽门螺杆菌,pc,2017-02-19,59
0,幽门螺杆菌,pc,2017-02-20,72
0,幽门螺杆菌,pc,2017-02-21,87
0,幽门螺杆菌,pc,2017-02-22,68
0,幽门螺杆菌,pc,2017-02-23,80
0,幽门螺杆菌,pc,2017-02-24,82
0,幽门螺杆菌,pc,2017-02-25,61
0,幽门螺杆菌,pc,2017-02-26,61
0,幽门螺杆菌,pc,2017-02-27,76
0,幽门螺杆菌,pc,2017-02-28,82
0,幽门螺杆菌,pc,2017-03-01,70
0,幽门螺杆菌,pc,2017-03-02,68
0,幽门螺杆菌,pc,2017-03-03,72
0,幽门螺杆菌,pc,2017-03-04,74
0,幽门螺杆菌,pc,2017-03-05,64
0,幽门螺杆菌,pc,2017-03-06,74
0,幽门螺杆菌,pc,2017-03-07,72
0,幽门螺杆菌,pc,2017-03-08,72
0,幽门螺杆菌,pc,2017-03-09,68
0,幽门螺杆菌,pc,2017-03-10,74
0,幽门螺杆菌,pc,2017-03-11,76
0,幽门螺杆菌,pc,2017-03-12,64
0,幽门螺杆菌,pc,2017-03-13,76
0,幽门螺杆菌,pc,2017-03-14,70
0,幽门螺杆菌,pc,2017-03-15,72
0,幽门螺杆菌,pc,2017-03-16,80
0,幽门螺杆菌,pc,2017-03-17,68
0,幽门螺杆菌,pc,2017-03-18,64
0,幽门螺杆菌,pc,2017-03-19,68
0,幽门螺杆菌,pc,2017-03-20,74
0,幽门螺杆菌,pc,2017-03-21,70
0,幽门螺杆菌,pc,2017-03-22,80
0,幽门螺杆菌,pc,2017-03-23,72
0,幽门螺杆菌,pc,2017-03-24,74
0,幽门螺杆菌,pc,2017-03-25,59
0,幽门螺杆菌,pc,2017-03-26,66
0,幽门螺杆菌,pc,2017-03-27,72
0,幽门螺杆菌,pc,2017-03-28,70
0,幽门螺杆菌,pc,2017-03-29,74
0,幽门螺杆菌,pc,2017-03-30,63
0,幽门螺杆菌,pc,2017-03-31,68
0,幽门螺杆菌,pc,2017-04-01,68
0,幽门螺杆菌,pc,2017-04-02,64
0,幽门螺杆菌,pc,2017-04-03,64
0,幽门螺杆菌,pc,2017-04-04,63
0,幽门螺杆菌,pc,2017-04-05,83
0,幽门螺杆菌,pc,2017-04-06,83
0,幽门螺杆菌,pc,2017-04-07,72
0,幽门螺杆菌,pc,2017-04-08,68
0,幽门螺杆菌,pc,2017-04-09,63
0,幽门螺杆菌,pc,2017-04-10,70
0,幽门螺杆菌,pc,2017-04-11,59
0,幽门螺杆菌,pc,2017-04-12,72
0,幽门螺杆菌,pc,2017-04-13,59
0,幽门螺杆菌,pc,2017-04-14,83
0,幽门螺杆菌,pc,2017-04-15,66
0,幽门螺杆菌,pc,2017-04-16,61
0,幽门螺杆菌,pc,2017-04-17,74
0,幽门螺杆菌,pc,2017-04-18,80
0,幽门螺杆菌,pc,2017-04-19,64
0,幽门螺杆菌,pc,2017-04-20,72
0,幽门螺杆菌,pc,2017-04-21,89
0,幽门螺杆菌,pc,2017-04-22,72
0,幽门螺杆菌,pc,2017-04-23,64
0,幽门螺杆菌,pc,2017-04-24,72
0,幽门螺杆菌,pc,2017-04-25,76
0,幽门螺杆菌,pc,2017-04-26,66
0,幽门螺杆菌,pc,2017-04-27,74
0,幽门螺杆菌,pc,2017-04-28,66
0,幽门螺杆菌,pc,2017-04-29,66
0,幽门螺杆菌,pc,2017-04-30,63
0,幽门螺杆菌,pc,2017-05-01,63
0,幽门螺杆菌,pc,2017-05-02,72
0,幽门螺杆菌,pc,2017-05-03,74
0,幽门螺杆菌,pc,2017-05-04,70
0,幽门螺杆菌,pc,2017-05-05,70
0,幽门螺杆菌,pc,2017-05-06,72
0,幽门螺杆菌,pc,2017-05-07,63
0,幽门螺杆菌,pc,2017-05-08,78
0,幽门螺杆菌,pc,2017-05-09,78
0,幽门螺杆菌,pc,2017-05-10,66
0,幽门螺杆菌,pc,2017-05-11,72
0,幽门螺杆菌,pc,2017-05-12,78
0,幽门螺杆菌,pc,2017-05-13,68
0,幽门螺杆菌,pc,2017-05-14,66
0,幽门螺杆菌,pc,2017-05-15,70
0,幽门螺杆菌,pc,2017-05-16,72
0,幽门螺杆菌,pc,2017-05-17,70
0,幽门螺杆菌,pc,2017-05-18,68
0,幽门螺杆菌,pc,2017-05-19,64
0,幽门螺杆菌,pc,2017-05-20,59
0,幽门螺杆菌,pc,2017-05-21,68
0,幽门螺杆菌,pc,2017-05-22,78
0,幽门螺杆菌,pc,2017-05-23,68
0,幽门螺杆菌,pc,2017-05-24,78
0,幽门螺杆菌,pc,2017-05-25,93
0,幽门螺杆菌,pc,2017-05-26,72
0,幽门螺杆菌,pc,2017-05-27,64
0,幽门螺杆菌,pc,2017-05-28,63
0,幽门螺杆菌,pc,2017-05-29,70
0,幽门螺杆菌,pc,2017-05-30,64
0,幽门螺杆菌,pc,2017-05-31,74
0,幽门螺杆菌,pc,2017-06-01,64
0,幽门螺杆菌,pc,2017-06-02,74
0,幽门螺杆菌,pc,2017-06-03,68
0,幽门螺杆菌,pc,2017-06-04,57
0,幽门螺杆菌,pc,2017-06-05,76
0,幽门螺杆菌,pc,2017-06-06,78
0,幽门螺杆菌,pc,2017-06-07,76
0,幽门螺杆菌,pc,2017-06-08,78
0,幽门螺杆菌,pc,2017-06-09,68
0,幽门螺杆菌,pc,2017-06-10,0
0,幽门螺杆菌,pc,2017-06-11,61
0,幽门螺杆菌,pc,2017-06-12,70
0,幽门螺杆菌,pc,2017-06-13,91
0,幽门螺杆菌,pc,2017-06-14,76
0,幽门螺杆菌,pc,2017-06-15,76
0,幽门螺杆菌,pc,2017-06-16,82
0,幽门螺杆菌,pc,2017-06-17,68
0,幽门螺杆菌,pc,2017-06-18,66
0,幽门螺杆菌,pc,2017-06-19,72
0,幽门螺杆菌,pc,2017-06-20,74
0,幽门螺杆菌,pc,2017-06-21,87
0,幽门螺杆菌,pc,2017-06-22,64
0,幽门螺杆菌,pc,2017-06-23,70
0,幽门螺杆菌,pc,2017-06-24,57
0,幽门螺杆菌,pc,2017-06-25,63
0,幽门螺杆菌,pc,2017-06-26,68
0,幽门螺杆菌,pc,2017-06-27,64
0,幽门螺杆菌,pc,2017-06-28,66
0,幽门螺杆菌,pc,2017-06-29,68
0,幽门螺杆菌,pc,2017-06-30,0
0,幽门螺杆菌,pc,2017-07-01,59
0,幽门螺杆菌,pc,2017-07-02,0
0,幽门螺杆菌,pc,2017-07-03,66
0,幽门螺杆菌,pc,2017-07-04,61
0,幽门螺杆菌,pc,2017-07-05,59
0,幽门螺杆菌,pc,2017-07-06,63
0,幽门螺杆菌,pc,2017-07-07,61
0,幽门螺杆菌,pc,2017-07-08,57
0,幽门螺杆菌,pc,2017-07-09,61
0,幽门螺杆菌,pc,2017-07-10,59
0,幽门螺杆菌,pc,2017-07-11,57
0,幽门螺杆菌,pc,2017-07-12,61
0,幽门螺杆菌,pc,2017-07-13,64
0,幽门螺杆菌,pc,2017-07-14,59
0,幽门螺杆菌,pc,2017-07-15,64
0,幽门螺杆菌,pc,2017-07-16,59
0,幽门螺杆菌,pc,2017-07-17,59
0,幽门螺杆菌,pc,2017-07-18,63
0,幽门螺杆菌,pc,2017-07-19,64
0,幽门螺杆菌,pc,2017-07-20,0
0,幽门螺杆菌,pc,2017-07-21,61
0,幽门螺杆菌,pc,2017-07-22,59
0,幽门螺杆菌,pc,2017-07-23,0
0,幽门螺杆菌,pc,2017-07-24,63
0,幽门螺杆菌,pc,2017-07-25,59
0,幽门螺杆菌,pc,2017-07-26,64
0,幽门螺杆菌,pc,2017-07-27,66
0,幽门螺杆菌,pc,2017-07-28,61
0,幽门螺杆菌,pc,2017-07-29,0
0,幽门螺杆菌,pc,2017-07-30,0
0,幽门螺杆菌,pc,2017-07-31,61
0,幽门螺杆菌,pc,2017-08-01,59
0,幽门螺杆菌,pc,2017-08-02,64
0,幽门螺杆菌,pc,2017-08-03,57
0,幽门螺杆菌,pc,2017-08-04,57
0,幽门螺杆菌,pc,2017-08-05,59
0,幽门螺杆菌,pc,2017-08-06,57
0,幽门螺杆菌,pc,2017-08-07,68
0,幽门螺杆菌,pc,2017-08-08,64
0,幽门螺杆菌,pc,2017-08-09,61
0,幽门螺杆菌,pc,2017-08-10,61
0,幽门螺杆菌,pc,2017-08-11,64
0,幽门螺杆菌,pc,2017-08-12,57
0,幽门螺杆菌,pc,2017-08-13,64
0,幽门螺杆菌,pc,2017-08-14,59
0,幽门螺杆菌,pc,2017-08-15,64
0,幽门螺杆菌,pc,2017-08-16,59
0,幽门螺杆菌,pc,2017-08-17,64
0,幽门螺杆菌,pc,2017-08-18,57
0,幽门螺杆菌,pc,2017-08-19,57
0,幽门螺杆菌,pc,2017-08-20,0
0,幽门螺杆菌,pc,2017-08-21,59
0,幽门螺杆菌,pc,2017-08-22,63
0,幽门螺杆菌,pc,2017-08-23,70
0,幽门螺杆菌,pc,2017-08-24,99
0,幽门螺杆菌,pc,2017-08-25,106
0,幽门螺杆菌,pc,2017-08-26,82
0,幽门螺杆菌,pc,2017-08-27,72
0,幽门螺杆菌,pc,2017-08-28,104
0,幽门螺杆菌,pc,2017-08-29,101
0,幽门螺杆菌,pc,2017-08-30,87
0,幽门螺杆菌,pc,2017-08-31,76
0,幽门螺杆菌,pc,2017-09-01,99
0,幽门螺杆菌,pc,2017-09-02,70
0,幽门螺杆菌,pc,2017-09-03,72
0,幽门螺杆菌,pc,2017-09-04,83
0,幽门螺杆菌,pc,2017-09-05,110
0,幽门螺杆菌,pc,2017-09-06,87
0,幽门螺杆菌,pc,2017-09-07,87
0,幽门螺杆菌,pc,2017-09-08,104
0,幽门螺杆菌,pc,2017-09-09,78
0,幽门螺杆菌,pc,2017-09-10,70
0,幽门螺杆菌,pc,2017-09-11,93
0,幽门螺杆菌,pc,2017-09-12,95
0,幽门螺杆菌,pc,2017-09-13,104
0,幽门螺杆菌,pc,2017-09-14,83
0,幽门螺杆菌,pc,2017-09-15,70
0,幽门螺杆菌,pc,2017-09-16,68
0,幽门螺杆菌,pc,2017-09-17,83
0,幽门螺杆菌,pc,2017-09-18,85
0,幽门螺杆菌,pc,2017-09-19,78
0,幽门螺杆菌,pc,2017-09-20,95
0,幽门螺杆菌,pc,2017-09-21,95
0,幽门螺杆菌,pc,2017-09-22,82
0,幽门螺杆菌,pc,2017-09-23,72
0,幽门螺杆菌,pc,2017-09-24,78
0,幽门螺杆菌,pc,2017-09-25,85
0,幽门螺杆菌,pc,2017-09-26,102
0,幽门螺杆菌,pc,2017-09-27,97
0,幽门螺杆菌,pc,2017-09-28,89
0,幽门螺杆菌,pc,2017-09-29,89
0,幽门螺杆菌,pc,2017-09-30,93
0,幽门螺杆菌,pc,2017-10-01,76
0,幽门螺杆菌,pc,2017-10-02,63
0,幽门螺杆菌,pc,2017-10-03,68
0,幽门螺杆菌,pc,2017-10-04,70
0,幽门螺杆菌,pc,2017-10-05,64
0,幽门螺杆菌,pc,2017-10-06,80
0,幽门螺杆菌,pc,2017-10-07,85
0,幽门螺杆菌,pc,2017-10-08,76
0,幽门螺杆菌,pc,2017-10-09,80
0,幽门螺杆菌,pc,2017-10-10,99
0,幽门螺杆菌,pc,2017-10-11,102
0,幽门螺杆菌,pc,2017-10-12,101
0,幽门螺杆菌,pc,2017-10-13,80
0,幽门螺杆菌,pc,2017-10-14,74
0,幽门螺杆菌,pc,2017-10-15,91
0,幽门螺杆菌,pc,2017-10-16,116
0,幽门螺杆菌,pc,2017-10-17,101
0,幽门螺杆菌,pc,2017-10-18,104
0,幽门螺杆菌,pc,2017-10-19,110
0,幽门螺杆菌,pc,2017-10-20,118
